SKU,Name,Cost,Status,Inventory,Brand,Image,Video
60001,Mini radio CB,99.97,Back Order,5,Car,DH-00001.jpg,www.youtube.com
60002,Chromecast,199.99,Available,0,Computer,DH-00002.jpg,www.youtube.com
60003,Bluetooth Speaker,399.99,Available,12,Phone,DH-00003.jpg,www.youtube.com
60004,Portable DVD PLayer,49.99,Pre-Order,0,Computer,DH-00004.jpg,www.youtube.com
60005,Scanner-printer all-in-one,999.99,Available,2,,DH-00005.jpg,www.youtube.com
60006,Car Radio 200w,89.99,Available,7,Car,DH-00006.jpg,www.youtube.com
60006,Hair Dryer,19.99,Back Order,80,,DH-00007.jpg,www.youtube.com
60008,MAC Computer,1999.99,Available,3,Computer,DH-00008.jpg,www.youtube.com
60009,Speaker + Sub-woofer,79.99,Available,100,Computer,DH-00009.jpg,www.youtube.com
60010,iPhone 32GB,399.99,Discontinued,0,Phone,DH-00010.jpg,www.youtube.com
60011,Intellignet Watches,499.99,Pre-Order,80,Computer,DH-00011.jpg,www.youtube.com
60012,Projector 1080p,899.99,Available,5,Computer,DH-00012.jpg,www.youtube.com
60013,Tablet generic,499.99,Pre-Order,7,Computer,DH-00013.jpg,www.youtube.com
60014,32 MegaPixel Camera,1999.99,Available,2,,DH-00014.png,www.youtube.com
60015,Intellignet watch new gen,2999.99,pre-order,0,Phone,DH-00015.jpg,www.youtube.com
60016,100 feet cable,76.96,Available,15, Computer,DH-00016.jpg,www.youtube.com
60016,256GB USB 3.0 FlashDrive,77.77,Available,1,,DH-00017.jpg,www.youtube.com
60018,512MB memory DDR3,69.99,Available,15,,DH-00018.jpg,www.youtube.com
