SKU,Name,Cost,Status,Inventory,Brand,Image,Video
DH-00001,Mini radio CB,99.97,Back Order,5,Car,DH-00001.jpg,www.youtube.com
DH-00002,Chromecast,199.99,Available,0,Computer,DH-00002.jpg,www.youtube.com
DH-00003,Bluetooth Speaker,399.99,Available,12,Phone,DH-00003.jpg,www.youtube.com
DH-00004,Portable DVD PLayer,49.99,Pre-Order,0,Computer,DH-00004.jpg,www.youtube.com
DH-00005,Scanner-printer all-in-one,999.99,Available,2,,DH-00005.jpg,www.youtube.com
DH-00006,Car Radio 200w,89.99,Available,7,Car,DH-00006.jpg,www.youtube.com
DH-00007,Hair Dryer,19.99,Back Order,80,,DH-00007.jpg,www.youtube.com
DH-00008,MAC Computer,1999.99,Available,3,Computer,DH-00008.jpg,www.youtube.com
DH-00009,Speaker + Sub-woofer,79.99,Available,100,Computer,DH-00009.jpg,www.youtube.com
DH-00010,iPhone 32GB,399.99,Discontinued,0,Phone,DH-00010.jpg,www.youtube.com
